排名      1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      
学号      0162    0626    0911    0930    0836    0266    0530    0511    0426    0112    0961    0931    0436    6911    0526    0212    0830    0119    0152    0630    
姓名      John    liui    azhi    huhu    momo    lili    yiya    liuo    wudi    wuru    mike    xing    xiao    ming    xiyi    mlxc    lixi    uzi     liyu    liouqi  
最终成绩   95      94.8    93.2    85.2    84.6    84.6    84      83.6    82.8    79.2    76.6    75.6    75.4    74.2    72.8    70      69.8    66.6    66.4    60.8    
zhao01   98      90      92      88      87      80      86      84      82      78      72      77      74      78      74      69      67      66      64      58      
qian02   99      98      94      84      88      84      84      89      84      80      77      79      72      77      70      66      74      67      68      60      
sun03    95      94      90      85      86      85      82      81      83      75      75      76      75      74      72      70      69      68      70      64      
zhou04   96      97      95      86      85      86      85      79      85      77      78      72      79      75      75      72      73      60      56      55      
wu05     94      99      93      82      83      87      83      90      86      82      79      69      73      72      73      64      68      69      72      59      
zheng06  92      93      92      83      82      88      88      77      80      79      80      75      76      73      69      74      65      63      63      63      
wang07   91      92      96      89      81      81      80      85      79      83      74      78      80      71      76      73      72      70      67      65      
